"","link","section","word","linenumber"
"1","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","arms",2
"2","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","matteo",3
"3","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","salvini",4
"4","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","difende",6
"5","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","toccava",8
"6","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","concedere",10
"7","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","porto",12
"8","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","comandante",14
"9","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","voluto",16
"10","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","rotta",18
"11","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","lampedusa",20
"12","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","deposita",24
"13","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","memoria",27
"14","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","giunta",29
"15","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","senato",31
"16","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","dieci",34
"17","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","voterà",36
"18","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","nuova",38
"19","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","richiesta",39
"20","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","autorizzazione",41
"21","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","procedere",43
"22","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","avanzata",44
"23","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","tribunale",46
"24","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","ministri",48
"25","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","palermo",50
"26","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","braccio",52
"27","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","ferro",54
"28","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","arms",58
"29","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","rifiuto",60
"30","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","farsi",62
"31","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","imporre",63
"32","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","ong",65
"33","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","spagnola",66
"34","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","sbarco",68
"35","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","italia",70
"36","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","immigrati",72
"37","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","soccorsi",73
"38","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","zona",75
"39","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","sar",76
"40","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","maltese",77
"41","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","obbligo",81
"42","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","porto",86
"43","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","sicuro",87
"44","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","nave",89
