"","link","section","word","linenumber"
"1","https://www.repubblica.it/cronaca/2020/02/22/news/coronavirus_in_italia_i_19_sbarcati_dalla_diamond_princess_in_giappone-249225700/","cronaca","coronavirus",1
"2","https://www.repubblica.it/cronaca/2020/02/22/news/coronavirus_in_italia_i_19_sbarcati_dalla_diamond_princess_in_giappone-249225700/","cronaca","seconda",2
"3","https://www.repubblica.it/cronaca/2020/02/22/news/coronavirus_in_italia_i_19_sbarcati_dalla_diamond_princess_in_giappone-249225700/","cronaca","vittima",3
"4","https://www.repubblica.it/cronaca/2020/02/22/news/coronavirus_in_italia_i_19_sbarcati_dalla_diamond_princess_in_giappone-249225700/","cronaca","italiana",4
"5","https://www.repubblica.it/cronaca/2020/02/22/news/coronavirus_in_italia_i_19_sbarcati_dalla_diamond_princess_in_giappone-249225700/","cronaca","donna",6
"6","https://www.repubblica.it/cronaca/2020/02/22/news/coronavirus_in_italia_i_19_sbarcati_dalla_diamond_princess_in_giappone-249225700/","cronaca","primi",10
"7","https://www.repubblica.it/cronaca/2020/02/22/news/coronavirus_in_italia_i_19_sbarcati_dalla_diamond_princess_in_giappone-249225700/","cronaca","casi",11
"8","https://www.repubblica.it/cronaca/2020/02/22/news/coronavirus_in_italia_i_19_sbarcati_dalla_diamond_princess_in_giappone-249225700/","cronaca","milano",13
"9","https://www.repubblica.it/cronaca/2020/02/22/news/coronavirus_in_italia_i_19_sbarcati_dalla_diamond_princess_in_giappone-249225700/","cronaca","donna",18
"10","https://www.repubblica.it/cronaca/2020/02/22/news/coronavirus_in_italia_i_19_sbarcati_dalla_diamond_princess_in_giappone-249225700/","cronaca","casalpusterlengo",23
"11","https://www.repubblica.it/cronaca/2020/02/22/news/coronavirus_in_italia_i_19_sbarcati_dalla_diamond_princess_in_giappone-249225700/","cronaca","casi",27
"12","https://www.repubblica.it/cronaca/2020/02/22/news/coronavirus_in_italia_i_19_sbarcati_dalla_diamond_princess_in_giappone-249225700/","cronaca","registrato",28
"13","https://www.repubblica.it/cronaca/2020/02/22/news/coronavirus_in_italia_i_19_sbarcati_dalla_diamond_princess_in_giappone-249225700/","cronaca","milano",36
"14","https://www.repubblica.it/cronaca/2020/02/22/news/coronavirus_in_italia_i_19_sbarcati_dalla_diamond_princess_in_giappone-249225700/","cronaca","cnr",38
"15","https://www.repubblica.it/cronaca/2020/02/22/news/coronavirus_in_italia_i_19_sbarcati_dalla_diamond_princess_in_giappone-249225700/","cronaca","rischio",39
"16","https://www.repubblica.it/cronaca/2020/02/22/news/coronavirus_in_italia_i_19_sbarcati_dalla_diamond_princess_in_giappone-249225700/","cronaca","infezione",41
"17","https://www.repubblica.it/cronaca/2020/02/22/news/coronavirus_in_italia_i_19_sbarcati_dalla_diamond_princess_in_giappone-249225700/","cronaca","basso",43
